196.|92|80|1.|other
188.|154|443|1.|other
1.|101|4300|188.|other
1.|101|4295|240.|other
1.|105|55043|196.|other
245.|203|80|2.|other
2.|107|3086|245.|other
231.|140|80|1.|other
1.|101|4303|231.|other
125.|72|80|2.|other
2.|107|3084|125.|other
97.|72|80|1.|other
1.|101|4305|97.|other
2.|107|3092|11.|other
143.|161|80|1.|other
1.|101|4304|143.|other
161.|71|443|2.|other
2.|108|1355|161.|other
9.|56|80|1.|other
1.|101|4307|9.|other
20.|36|80|3.|other
3.|117|3625|20.|other
240.|20|80|1.|other
183.|171|80|3.|other
3.|115|4506|183.|other
2.|112|1397|64.|other
4.|119|4175|125.|other
4.|119|4174|125.|other
112.|45|80|3.|other
3.|115|4501|112.|other
3.|117|3629|235.|other
178.|204|80|1.|other
1.|105|55061|178.|other
2.|113|1880|73.|other
87.|81|80|2.|other
2.|112|1396|87.|other
3.|115|4500|183.|other
11.|131|80|2.|other
1.|105|55069|202.|other
2.|113|1882|73.|infection
235.|42|80|3.|other
64.|20|80|2.|other
2.|107|3085|246.|other
134.|13|80|1.|other
1.|101|4298|134.|other
202.|153|80|1.|other
2.|112|1398|39.|other
2.|112|1399|195.|other
246.|205|80|2.|other
3.|115|4517|224.|other
3.|117|3634|66.|other
3.|116|4643|132.|other
39.|106|80|2.|other
1.|101|4313|134.|other
3.|115|4520|146.|other
195.|50|80|2.|other
2.|112|1402|170.|other
224.|225|80|3.|other
3.|115|4521|12.|other
66.|251|80|3.|other
1.|105|55040|196.|other
132.|253|80|3.|other
1.|101|4299|8.|other
1.|101|4278|13.|other
3.|115|4522|59.|other
129.|148|80|1.|other
1.|105|55041|129.|other
2.|112|1403|64.|other
146.|228|80|3.|other
2.|112|1404|195.|other
170.|5|80|2.|other
12.|16|80|3.|other
1.|101|4314|31.|other
8.|56|80|1.|other
59.|104|80|3.|other
3.|115|4524|162.|other
1.|101|4316|231.|other
2.|112|1406|195.|other
31.|19|80|1.|other
2.|112|1407|164.|other
2.|112|1408|236.|other
162.|52|80|3.|other
164.|43|80|2.|other
2.|112|1412|167.|other
2.|106|3829|95.|other
2.|106|3830|11.|other
2.|106|3831|150.|other
3.|115|4527|200.|other
167.|132|80|2.|other
2.|112|1413|247.|other
3.|115|4528|224.|other
95.|63|80|2.|other
150.|20|80|2.|other
11.|179|443|2.|other
2.|106|3833|95.|other
2.|106|3834|11.|other
247.|76|80|2.|other
200.|13|80|3.|other
2.|112|1414|197.|other
2.|112|1415|203.|other
2.|112|1416|204.|other
3.|115|4532|224.|other
2.|106|3836|95.|other
3.|115|4533|200.|other
204.|100|80|2.|other
197.|234|80|2.|other
2.|106|3837|95.|other
203.|160|80|2.|other
2.|112|1418|195.|other
4.|119|4164|114.|other
3.|115|4534|59.|other
236.|171|80|2.|other
2.|106|3838|11.|other
2.|106|3839|11.|other
2.|106|3841|1.|other
2.|106|3842|95.|other
3.|115|4536|176.|other
3.|115|4537|31.|other
2.|106|3843|95.|other
2.|106|3844|11.|other
2.|112|1421|195.|other
3.|115|4538|224.|other
1.|4|80|2.|other
95.|150|443|2.|other
2.|106|3847|216.|other
2.|106|3848|11.|other
176.|13|80|3.|other
2.|112|1422|63.|other
216.|162|443|2.|other
2.|113|1867|127.|infection
3.|115|4539|224.|other
63.|57|443|2.|other
2.|112|1423|64.|other
2.|107|3098|219.|other
2.|112|1425|195.|other
2.|106|3849|3.|other
2.|106|3850|3.|other
64.|20|443|2.|other
2.|107|3099|219.|other
219.|206|80|2.|other
2.|106|3852|11.|other
2.|112|1427|195.|other
131.|114|80|1.|other
1.|101|4286|131.|other
80.|50|80|1.|other
1.|105|55063|80.|other
2.|106|3853|132.|other
3.|187|80|2.|other
2.|106|3854|95.|other
2.|106|3855|95.|other
2.|106|3856|160.|other
3.|115|4544|59.|other
2.|112|1428|195.|other
2.|106|3857|3.|other
2.|106|3858|11.|other
160.|76|80|2.|other
1.|101|4327|204.|other
2.|107|3101|219.|other
2.|113|1846|254.|infection
2.|106|3861|95.|other
2.|106|3862|95.|other
2.|106|3863|125.|other
204.|191|443|1.|other
2.|112|1429|33.|other
2.|107|3102|219.|other
2.|112|1430|195.|other
2.|106|3864|3.|other
2.|112|1432|195.|other
33.|64|80|2.|other
195.|150|443|2.|other
3.|115|4549|224.|other
1.|101|4330|8.|other
3.|115|4552|204.|other
3.|115|4553|204.|other
2.|106|3865|95.|other
2.|106|3866|193.|other
2.|106|3867|11.|other
2.|106|3868|11.|other
3.|115|4557|176.|other
193.|70|80|2.|other
2.|113|1877|209.|other
2.|106|3871|95.|other
4.|120|2797|1.|other
2.|112|1433|195.|other
2.|112|1435|64.|other
2.|112|1436|64.|other
2.|106|3873|11.|other
2.|113|1858|73.|infection
2.|113|1866|73.|other
3.|115|4566|224.|other
3.|115|4567|183.|other
2.|112|1437|195.|other
2.|112|1438|64.|other
2.|112|1440|195.|other
2.|112|1441|39.|other
2.|106|3875|11.|other
3.|115|4568|224.|other
1.|101|4336|33.|other
3.|115|4572|183.|other
2.|106|3880|11.|other
1.|101|4341|204.|other
2.|106|3883|11.|other
2.|106|3884|148.|other
148.|32|80|2.|other
2.|106|3885|11.|other
3.|115|4578|228.|other
2.|106|3887|11.|other
4.|120|2793|150.|other
2.|106|3888|14.|other
228.|1|80|3.|other
2.|112|1442|43.|other
4.|120|2791|158.|other
14.|86|80|2.|other
3.|115|4581|228.|other
43.|230|80|2.|other
2.|106|3889|11.|other
2.|112|1445|195.|other
2.|112|1447|195.|other
2.|112|1448|162.|other
4.|120|2794|86.|other
86.|122|80|4.|other
2.|106|3890|11.|other
4.|120|2790|134.|other
2.|106|3891|11.|other
2.|106|3892|11.|other
4.|120|2798|4.|other
4.|118|139|4.|other
2.|106|3893|11.|other
2.|106|3894|11.|other
2.|106|3895|11.|other
2.|112|1449|39.|other
2.|112|1450|33.|other
2.|112|1451|33.|other
1.|101|4349|204.|other
2.|106|3896|11.|other
2.|106|3897|11.|other
3.|115|4608|228.|other
232.|100|80|1.|other
4.|121|54106|47.|other
2.|106|3898|11.|other
3.|115|4614|228.|other
4.|121|54107|127.|other
4.|121|54108|209.|other
2.|106|3899|11.|other
1.|103|4140|51.|other
1.|101|4353|18.|other
18.|78|80|1.|other
1.|104|58534|160.|other
1.|104|58535|204.|other
2.|112|1452|64.|other
1.|103|4142|51.|other
2.|106|3900|11.|other
3.|115|4632|183.|other
2.|106|3902|11.|other
3.|115|4636|183.|other
2.|106|3903|11.|other
2.|106|3904|11.|other
2.|106|3905|11.|other
2.|106|3906|11.|other
2.|106|3907|11.|other
2.|108|1354|175.|other
2.|106|3908|11.|other
2.|106|3909|11.|other
2.|112|1453|203.|other
2.|106|3910|11.|other
2.|106|3911|11.|other
1.|105|55119|191.|other
2.|106|3912|11.|other
1.|101|4362|204.|other
191.|30|80|1.|other
2.|106|3913|11.|other
2.|108|1352|147.|infection
2.|106|3914|11.|other
2.|106|3915|11.|other
2.|106|3916|11.|other
2.|106|3917|11.|other
2.|106|3918|11.|other
2.|106|3919|11.|other
2.|106|3920|11.|other
2.|106|3921|11.|other
2.|106|3922|11.|other
2.|106|3923|11.|other
4.|120|2796|157.|other
4.|120|2800|134.|other
157.|22|80|4.|other
2.|106|3924|11.|other
2.|106|3925|11.|other
4.|120|2802|1.|other
2.|112|1456|33.|other
2.|106|3926|11.|other
2.|106|3927|11.|other
2.|112|1457|195.|other
2.|106|3928|11.|other
2.|106|3929|11.|other
4.|120|2804|154.|other
154.|148|80|4.|other
2.|106|3930|11.|other
2.|106|3931|11.|other
4.|120|2805|150.|other
2.|106|3932|11.|other
2.|106|3933|11.|other
3.|115|4674|228.|other
3.|115|4675|228.|other
2.|106|3934|11.|other
2.|106|3935|11.|other
2.|106|3936|11.|other
2.|106|3937|11.|other
1.|105|55021|61.|other
2.|106|3938|11.|other
2.|106|3939|11.|other
2.|106|3940|11.|other
2.|106|3941|11.|other
2.|106|3942|11.|other
2.|106|3943|11.|other
2.|106|3944|11.|other
2.|106|3945|11.|other
2.|106|3946|11.|other
2.|106|3947|11.|other
2.|106|3948|11.|other
2.|106|3949|11.|other
2.|106|3950|11.|other
2.|106|3951|11.|other
2.|106|3952|11.|other
2.|106|3953|11.|other
2.|106|3954|11.|other
2.|106|3955|11.|other
2.|106|3956|11.|other
2.|112|1463|39.|other
2.|106|3957|11.|other
2.|106|3958|11.|other
4.|120|2809|1.|other
2.|106|3959|11.|other
2.|106|3960|11.|other
2.|106|3961|11.|other
2.|106|3962|11.|other
2.|106|3963|11.|other
3.|115|4676|220.|other
220.|130|80|3.|other
2.|106|3964|11.|other
2.|106|3965|11.|other
2.|112|1392|250.|other
2.|112|1465|64.|other
2.|112|1467|64.|other
2.|109|4041|14.|other
2.|112|1468|236.|other
3.|116|4638|201.|other
201.|32|80|3.|other
2.|112|1470|195.|other
2.|112|1471|152.|other
152.|118|80|2.|other
2.|112|1475|236.|other
2.|109|4046|217.|other
2.|112|1478|236.|other
2.|112|1479|173.|other
173.|92|80|2.|other
1.|103|4147|51.|other
1.|103|4150|79.|other
79.|85|80|1.|other
1.|103|4151|202.|other
1.|103|4152|192.|other
192.|98|80|1.|other
3.|117|3722|66.|other
2.|112|1482|236.|other
1.|103|4148|51.|other
4.|119|4173|114.|other
114.|40|443|4.|other
2.|113|1977|149.|other
149.|215|443|2.|other
2.|113|1978|14.|other
4.|119|4171|114.|other
2.|113|1981|93.|other
114.|60|80|4.|other
93.|121|80|2.|other
2.|113|1985|188.|other
2.|113|1988|144.|infection
144.|228|80|2.|other
2.|109|4035|33.|other
2.|112|1483|195.|other
2.|109|4036|33.|other
2.|113|2012|160.|infection
2.|112|1485|236.|other
2.|112|1486|195.|other
2.|112|1487|33.|other
3.|117|3730|206.|other
206.|29|80|3.|other
2.|112|1489|236.|other
1.|104|58546|125.|other
2.|112|1491|64.|other
3.|116|4645|93.|other
3.|116|4647|204.|other
2.|112|1496|33.|other
2.|110|2954|240.|other
2.|110|2955|73.|other
73.|21|80|2.|other
2.|110|2959|174.|other
174.|97|80|2.|other
2.|110|2961|21.|other
2.|110|2962|33.|other
21.|50|80|2.|other
2.|110|2963|79.|other
2.|110|2964|79.|other
2.|110|2965|148.|other
2.|110|2974|73.|other
2.|110|2975|73.|other
3.|116|4649|228.|other
2.|110|2977|73.|other
2.|110|2978|19.|other
19.|100|80|2.|other
2.|110|2979|148.|other
2.|110|2981|109.|other
109.|170|80|2.|other
3.|116|4651|189.|other
189.|148|443|3.|other
2.|112|1498|64.|other
3.|116|4652|43.|other
2.|112|1499|164.|other
3.|116|4653|43.|other
43.|117|443|3.|other
2.|112|1500|164.|other
2.|112|1501|164.|other
1.|105|55152|166.|other
2.|112|1502|164.|other
166.|152|80|1.|other
2.|112|1503|64.|other
2.|112|1504|164.|other
2.|112|1505|164.|other
2.|112|1506|164.|other
2.|112|1507|164.|other
2.|112|1508|164.|other
2.|112|1509|164.|other
2.|112|1510|64.|other
2.|112|1511|64.|other
2.|112|1512|164.|other
2.|112|1513|164.|other
2.|110|2991|73.|other
2.|112|1514|164.|other
2.|112|1515|164.|other
1.|104|58548|60.|other
60.|162|80|1.|other
2.|112|1516|164.|other
2.|112|1517|164.|other
2.|112|1518|164.|other
2.|112|1519|164.|other
2.|112|1520|64.|other
2.|112|1521|164.|other
4.|119|4179|114.|other
4.|119|4180|114.|other
2.|112|1522|164.|other
1.|101|4366|134.|other
2.|112|1523|164.|other
